field,replicate,architecture,target_su4_shot_gate_exposure,achieved_su4_shot_gate_exposure,achieved_modeled_entangling_exposure,achieved_training_shots,objective_queries,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,physical_su4_blocks,independent_coordinates
1.0,84,MERA_PM225,26000000,26000000,78000000,1000000,200,0.08555328180272266,0.1346300985747466,0.3754260506056537,0.22841753038755896,0.9144467181972774,26,225
1.0,84,MPS,26000000,26400000,79200000,1760000,352,0.11707155834601653,0.13494841577941538,0.272890273458574,0.279752029722484,0.8829284416539833,15,225
1.0,85,MERA_PM225,26000000,26000000,78000000,1000000,200,0.023987804963280658,0.13440799196603978,0.5082819870369806,0.3842806788829014,0.9760121950367193,26,225
1.0,85,MPS,26000000,26400000,79200000,1760000,352,0.0402754297110863,0.13494845936514524,0.4886899031644827,0.6068891325116336,0.9597245702889136,15,225
1.0,86,MERA_PM225,26000000,26000000,78000000,1000000,200,0.016844199865018943,0.13603876510874724,0.7010017066207576,0.40517109139602514,0.983155800134981,26,225
1.0,86,MPS,26000000,26400000,79200000,1760000,352,0.0080070653850586,0.13494830630788074,0.5981826989954778,0.3779062094628974,0.9919929346149414,15,225
1.0,87,MERA_PM225,26000000,26000000,78000000,1000000,200,0.0054791660608937715,0.13431283035765093,0.5925634340517217,0.052072581862024236,0.9945208339391063,26,225
1.0,87,MPS,26000000,26400000,79200000,1760000,352,0.015416960799615739,0.13494836947214472,0.5409005689885161,0.186483010173487,0.9845830392003843,15,225
1.0,88,MERA_PM225,26000000,26000000,78000000,1000000,200,0.02378518523712556,0.13382821222775496,0.5031263573715374,0.471014826359833,0.9762148147628745,26,225
1.0,88,MPS,26000000,26400000,79200000,1760000,352,0.040404232429896325,0.13494844955791155,0.4747622008602501,0.08511046833363078,0.9595957675701037,15,225
1.0,89,MERA_PM225,26000000,26000000,78000000,1000000,200,0.02696917797513276,0.134042370356799,0.5356555481737045,0.21736447127908204,0.9730308220248672,26,225
1.0,89,MPS,26000000,26400000,79200000,1760000,352,0.0457915113143167,0.1349481715472497,0.39976440941541846,0.5447333097906343,0.9542084886856835,15,225
1.1,80,MERA_PM225,26000000,26000000,78000000,1000000,200,0.04661200344961858,0.055346128154786234,0.5288559954385132,0.07368124870914372,0.9533879965503814,26,225
1.1,80,MPS,26000000,26400000,79200000,1760000,352,0.11999232739640558,0.055399882295772127,0.3633721397650562,0.4205284864133516,0.8800076726035945,15,225
1.1,81,MERA_PM225,26000000,26000000,78000000,1000000,200,0.050110851247768866,0.053854960547446165,0.48262433834007323,0.37968622686552267,0.9498891487522311,26,225
1.1,81,MPS,26000000,26400000,79200000,1760000,352,0.018365009766483018,0.05540010368250476,0.4221685204935516,0.2480883400094155,0.981634990233517,15,225
1.1,82,MERA_PM225,26000000,26000000,78000000,1000000,200,0.012630090986291122,0.05093295893209237,0.6609258222349945,0.17659912031978886,0.9873699090137089,26,225
1.1,82,MPS,26000000,26400000,79200000,1760000,352,0.011063066698482685,0.055399994909430414,0.6206367799093184,0.42864514584481017,0.9889369333015173,15,225
1.1,83,MERA_PM225,26000000,26000000,78000000,1000000,200,0.041379427949999666,0.05451261668954679,0.4378928178468836,0.08998857448747527,0.9586205720500002,26,225
1.1,83,MPS,26000000,26400000,79200000,1760000,352,0.03920209479021611,0.05540087751909084,0.4248013865143403,0.35963905285229647,0.9607979052097838,15,225
1.1,84,MERA_PM225,26000000,26000000,78000000,1000000,200,0.0021795853854591,0.05549644079873098,0.7679542609499828,0.7296782725629435,0.9978204146145409,26,225
1.1,84,MPS,26000000,26400000,79200000,1760000,352,0.020534618038745973,0.05539917753923135,0.57054086011347,0.022182239028554318,0.9794653819612541,15,225
1.1,85,MERA_PM225,26000000,26000000,78000000,1000000,200,0.022240483952990796,0.05408677833784276,0.6218192287295137,0.11438270303158449,0.9777595160470091,26,225
1.1,85,MPS,26000000,26400000,79200000,1760000,352,0.03527762759757524,0.05540016387290599,0.5667790630326444,0.07812559458630419,0.9647223724024246,15,225
1.1,86,MERA_PM225,26000000,26000000,78000000,1000000,200,0.0003416975802366502,0.055342418076952046,0.9879191197944903,0.0162885102561659,0.9996583024197634,26,225
1.1,86,MPS,26000000,26400000,79200000,1760000,352,0.03772200258759305,0.055400037979916106,0.4061867152937544,0.14680322658016942,0.9622779974124069,15,225
1.1,87,MERA_PM225,26000000,26000000,78000000,1000000,200,0.015034122812305713,0.05392236765469002,0.5930936283531283,0.3712129290491434,0.9849658771876943,26,225
1.1,87,MPS,26000000,26400000,79200000,1760000,352,0.024165016734354703,0.055399924776385695,0.5568373995135485,0.3044925483933037,0.9758349832656453,15,225
1.1,88,MERA_PM225,26000000,26000000,78000000,1000000,200,0.0032312882792384437,0.05796170778959448,0.8938393125792848,0.2684630362267383,0.9967687117207615,26,225
1.1,88,MPS,26000000,26400000,79200000,1760000,352,0.03360060644407178,0.05539998818825667,0.5137925664599317,0.015415930944328582,0.9663993935559282,15,225
1.1,89,MERA_PM225,26000000,26000000,78000000,1000000,200,0.013371537618569013,0.05435000296857421,0.5967623895302587,0.10652868366890444,0.986628462381431,26,225
1.1,89,MPS,26000000,26400000,79200000,1760000,352,0.01790612409314136,0.05539989288108406,0.525878743029425,0.455591666444206,0.9820938759068586,15,225
0.9,80,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.503471725531637,0.29900972550975363,0.08047274893235601,0.4057489705016368,0.496528274468363,26,225
0.9,80,MPS,260000000,260400000,781200000,17360000,3472,0.35324674786063087,0.30159967906918295,0.1221019955927376,0.7827109997589464,0.646753252139369,15,225
0.9,81,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.33108856226465405,0.28880305053684535,0.15023691761276559,0.2871169782420654,0.6689114377353461,26,225
0.9,81,MPS,260000000,260400000,781200000,17360000,3472,0.383022360404013,0.3016038959702074,0.12197937411048687,0.4339715216419504,0.6169776395959872,15,225
0.9,82,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.38953032467023974,0.2994032932708993,0.11576351499060467,0.3422293335794273,0.6104696753297605,26,225
0.9,82,MPS,260000000,260400000,781200000,17360000,3472,0.33128882623674416,0.3015990827963978,0.1326839509952764,0.7113969704809956,0.6687111737632561,15,225
0.9,83,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.23952770266280665,0.2958046821979209,0.2160344795235929,0.5140428867680369,0.7604722973371931,26,225
0.9,83,MPS,260000000,260400000,781200000,17360000,3472,0.3594884400811512,0.3016002204464352,0.11760247633854126,0.5647720920941566,0.6405115599188488,15,225
0.9,84,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.3758771560069036,0.3022829122674828,0.13710531273179272,0.48721242731577447,0.6241228439930966,26,225
0.9,84,MPS,260000000,260400000,781200000,17360000,3472,0.326371559374193,0.30159855221544407,0.14099144879805126,0.17768083130827927,0.6736284406258071,15,225
0.9,85,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.42675852200515213,0.3019163586479251,0.10243601195226426,0.5051056554225222,0.5732414779948483,26,225
0.9,85,MPS,260000000,260400000,781200000,17360000,3472,0.31183633141325495,0.30160070473138634,0.14304411855055887,0.7873470074772005,0.6881636685867452,15,225
0.9,86,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.30451574624877564,0.3021654853596687,0.16776076021776287,0.5407585772567078,0.6954842537512245,26,225
0.9,86,MPS,260000000,260400000,781200000,17360000,3472,0.3405039108664348,0.3016010550726859,0.14334106835279248,0.5420031810480486,0.6594960891335655,15,225
0.9,87,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.374435641796856,0.2955521380229443,0.13984889047011984,0.41996987915831185,0.6255643582031439,26,225
0.9,87,MPS,260000000,260400000,781200000,17360000,3472,0.3490663789742977,0.3016006914722631,0.12608662196372467,0.4664261428220593,0.6509336210257025,15,225
0.9,88,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.3089078073446051,0.30074472389272594,0.15779610345029838,0.47869363931220305,0.6910921926553952,26,225
0.9,88,MPS,260000000,260400000,781200000,17360000,3472,0.29749801039595886,0.301599364212828,0.15066837629265373,0.5149560330519509,0.702501989604041,15,225
0.9,89,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.3422829066402457,0.3044886043747934,0.14153252813489847,0.44604169128315374,0.6577170933597545,26,225
0.9,89,MPS,260000000,260400000,781200000,17360000,3472,0.3146252342568736,0.30159892510631103,0.16226466116733596,0.20196528986508688,0.6853747657431262,15,225
1.0,80,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.433019158029921,0.13612718758630266,0.14895525568121237,0.25390996767528656,0.566980841970079,26,225
1.0,80,MPS,260000000,260400000,781200000,17360000,3472,0.48275900861639026,0.13494845774228728,0.11164370548918523,0.5731100593924314,0.5172409913836093,15,225
1.0,81,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5008893310403065,0.1360857457054181,0.12392145998431592,0.16255032056194074,0.499110668959693,26,225
1.0,81,MPS,260000000,260400000,781200000,17360000,3472,0.4883897296508056,0.13494831004500615,0.11502665485232999,0.3901549439462134,0.5116102703491943,15,225
